conmedic,partyid,region,id,age,sex,race,degree
.i, 3, 3, 396,30, 2, 1, 1
 1, 0, 3, 397,79, 1, 1, 1
.i, 2, 3, 398,65, 2, 1, 2
.i, 2, 3, 399,43, 1, 1, 0
.i, 3, 3, 400,43, 2, 2, 1
 1, 3, 3, 401,31, 2, 1, 1
 1, 1, 3, 402,43, 2, 2, 1
 2, 2, 3, 403,26, 2, 2, 1
 2, 4, 7, 404,31, 2, 3, 4
.i, 5, 7, 405,64, 2, 1, 4
 2, 3, 7, 406,31, 2, 3, 2
.i, 4, 7, 407,47, 1, 1, 1
 2, 5, 7, 408,27, 2, 1, 3
 3, 1, 7, 409,30, 2, 1, 2
.i, 4, 7, 410,.n,.n, 1, 0
 1, 3, 7, 411,36, 1, 1, 3
 2, 5, 7, 412,26, 2, 1, 3
 2, 0, 3, 413,45, 2, 1, 3
 2, 1, 3, 414,45, 1, 1, 1
.i, 0, 3, 415,79, 2, 1, 3
 3, 2, 3, 416,25, 1, 1, 2
 1, 5, 3, 417,.n,.n, 2, 4
 2, 0, 3, 418,40, 2, 1, 4
 1, 0, 3, 419,28, 2, 1, 4
 1, 2, 3, 420,36, 1, 1, 3
.i, 0, 3, 422,37, 1, 1, 4
.i, 3, 3, 423,61, 2, 1, 0
 1, 6, 3, 424,52, 2, 1, 3
 1, 1, 3, 425,65, 1, 3, 1
.i, 2, 3, 427,65, 2, 1, 2
 1, 0, 3, 428,61, 1, 1, 4
 2, 3, 3, 430,.i,.i, 3, 1
 3, 2, 3, 431,49, 2, 1, 1
 1, 1, 8, 432,22, 1, 1, 1
.i, 4, 8, 433,50, 1, 1, 4
.i, 6, 8, 434,89, 1, 1, 4
 1, 0, 8, 435,56, 1, 2, 1
.i, 6, 8, 436,.i, 1, 1, 1
 1, 3, 8, 437,45, 1, 1, 1
.i, 1, 8, 438,37, 2, 3, 0
 2, 6, 8, 439,68, 2, 1, 1
 1, 1, 3, 440,18, 1, 2, 0
.i, 4, 3, 441,42, 1, 1, 1
 2, 1, 3, 443,37, 2, 1, 4
.i, 2, 3, 444,44, 1, 1, 1
 1, 6, 3, 445,63, 1, 1, 4
.i, 2, 3, 446,29, 1, 1, 3
 1, 5, 3, 447,37, 2, 1, 3
 2, 0, 3, 448,66, 2, 1, 3
.i, 6, 3, 449,52, 1, 1, 3
 1, 5, 3, 450,55, 2, 1, 1
 1, 6, 3, 451,44, 2, 1, 3
 2, 0, 3, 452,64, 2, 1, 1
 2, 6, 3, 453,59, 1, 1, 4
 1, 3, 3, 454,53, 2, 1, 2
.i, 3, 8, 455,30, 1, 1, 0
.i, 1, 8, 456,48, 1, 1, 4
 2, 2, 8, 457,50, 1, 1, 4
.i, 3, 8, 458,61, 1, 1, 4
 1, 6, 8, 459,53, 1, 1, 4
.i, 3, 8, 460,61, 1, 1, 3
.i, 1, 8, 461,30, 2, 1, 4
 1, 0, 8, 462,.i, 1, 3, 4
 3, 3, 8, 463,62, 2, 3, 1
 2, 5, 8, 464,44, 2, 1, 1
 1, 5, 8, 465,60, 1, 1, 3
 2, 2, 6, 466,66, 1, 1, 1
 2, 3, 6, 467,.n,.n, 2, 0
.i, 6, 6, 468,69, 1, 1, 4
 2, 4, 6, 469,47, 1, 1, 4
.i, 3, 6, 470,62, 2, 1, 0
 2, 4, 1, 472,80, 2, 1, 1
 3, 5, 1, 473,47, 1, 1, 3
.i, 4, 1, 474,37, 1, 1, 4
 2, 0, 1, 475,54, 2, 1, 1
 1, 0, 1, 476,47, 2, 1, 1
.i, 3, 1, 477,59, 1, 1, 1
 2, 1, 1, 478,57, 1, 1, 1
 1, 0, 1, 480,.i, 2, 2, 1
 1, 5, 1, 481,33, 2, 1, 1
 2, 3, 1, 482,41, 1, 1, 1
 1, 4, 1, 483,.i, 2, 1, 1
.i, 1, 1, 484,58, 2, 1, 4
 1, 1, 1, 485,27, 1, 1, 3
 2, 2, 1, 486,57, 2, 1, 2
.i, 4, 1, 487,49, 2, 3, 0
 2, 0, 1, 488,46, 2, 1, 1
 1, 1, 2, 490,81, 2, 1, 1
 2, 3, 2, 491,35, 2, 1, 4
.i, 3, 2, 492,28, 2, 1, 0
 2, 6, 2, 493,70, 1, 1, 2
